G-word;E-word;WdNum;VAL_Mean;VAL_SD;ARO_Mean_(ANEW);ARO_SD_(ANEW);ARO_Mean_(BAWL);ARO_SD_(BAWL);DOM_Mean;DOM_SD;POT_Mean;POT_SD;IMA_MEAN;IMA_SD;freq_Leipzig;freq_SUBTLEX;#_letters;#_syllables;word_class;N_orth;HFN;NF_MAX;F_SUM
Ketchup;ketchup;831;0.50;1.02;4.05;1.32;2.35;0.94;6.25;1.45;4.60;1.66;6.25;1.37;41.00;4.29;7;2;S;0;0;0.00;0.00
Kessel;kettle;832;0.04;0.68;4.10;1.86;3.32;0.75;5.31;2.11;6.00;2.05;5.85;1.23;311.00;3.03;6;1;S;3;1;16.50;22.50
Schlüssel;key;833;0.27;1.10;4.00;1.62;2.23;1.14;6.13;1.37;5.08;1.31;6.60;0.68;763.00;121.62;9;2;S;0;0;0.00;0.00
Tritt;kick;834;-0.90;0.57;6.20;1.54;2.84;1.26;5.19;2.08;5.38;1.58;5.76;1.23;338.00;45.99;5;1;S;4;0;6.17;9.33
Kinder;kids;835;1.76;1.01;5.95;1.61;2.92;1.15;6.75;1.40;4.57;1.40;6.25;0.97;47.00;381.35;6;2;S;3;3;19.50;23.50
Knoten;knot;836;0.00;0.68;3.95;1.76;2.38;1.13;5.19;1.41;5.00;1.65;5.70;1.49;291.00;8.94;6;2;S;1;1;2.17;2.17
Lamm;lamb;837;0.63;0.81;2.95;1.73;2.19;0.98;5.50;2.28;3.50;1.80;6.35;1.18;113.00;5.35;4;1;S;5;3;15.17;27.67
Lampe;lamp;838;0.85;0.75;3.05;1.47;2.14;1.15;5.44;1.76;3.98;1.72;5.59;1.53;187.00;13.90;5;2;S;1;0;4.83;4.83
Laterne;lantern;839;1.24;1.04;3.05;1.64;2.19;1.17;5.19;1.56;4.23;1.49;5.76;1.18;92.00;1.69;7;3;S;0;0;0.00;0.00
großzügig;lavish;840;2.19;0.83;4.15;1.90;2.42;1.06;6.44;1.50;6.29;1.36;3.29;1.31;485.00;12.95;9;3;A;0;0;0.00;0.00
Rasen;lawn;841;0.47;0.64;2.85;1.69;2.04;1.15;5.75;1.53;4.23;1.40;5.80;1.61;919.00;10.00;5;2;S;6;4;190.83;246.67
